Model Name,Max Length,Accuracy,Recall,Precision,F1-Score,Epochs Trained,Average Memory Usage (MB)
kykim/albert-kor-base,16,0.8655346489215237,0.8655346489215237,0.8663138681956906,0.8619471962942978,12,165893.02083333334
kykim/albert-kor-base,32,0.9040844424047728,0.9040844424047728,0.9038478255391614,0.9039494248094994,13,173179.78846153847
kykim/albert-kor-base,64,0.9160165213400643,0.9160165213400643,0.9155749868374288,0.9155349923860906,11,181046.81818181818
kykim/albert-kor-base,128,0.9123451124368976,0.9123451124368976,0.9140891675454119,0.9105686475476488,12,183342.3125
klue/bert-base,16,0.8251491509866912,0.8251491509866912,0.8310323593355535,0.8269796357217374,11,1343479.9318181819
klue/bert-base,32,0.8893988067921065,0.8893988067921065,0.8903438856377658,0.8870101828017759,11,1355026.0909090908
klue/bert-base,64,0.9082147774208352,0.9082147774208352,0.909098453019656,0.9085391343317589,12,1409345.0
klue/bert-base,128,0.9196879302432308,0.9196879302432308,0.9201945770118346,0.9185663677176941,12,1434165.0208333333
klue/roberta-base,16,0.8402937127122533,0.8402937127122533,0.8390627239605588,0.8363712163326771,12,1426852.5625
klue/roberta-base,32,0.8737953189536485,0.8737953189536485,0.8732560170362128,0.8715644256052623,12,1363567.1458333333
klue/roberta-base,64,0.9155575952271684,0.9155575952271684,0.9153800337095365,0.9146906506041333,12,1388385.5208333333
klue/roberta-base,128,0.9183111519045434,0.9183111519045434,0.9184015157832663,0.9173474837424787,13,1397415.923076923
beomi/kcbert-base,16,0.833409821018816,0.833409821018816,0.8393343385028657,0.8351909118810812,12,1399659.3958333333
beomi/kcbert-base,32,0.8953648462597522,0.8953648462597522,0.8958494429757468,0.8934484018201772,12,1331035.125
beomi/kcbert-base,64,0.914180816888481,0.914180816888481,0.9144406841856689,0.9130166588741929,12,1392244.1666666667
beomi/kcbert-base,128,0.9063790729692519,0.9063790729692519,0.9062191794479928,0.9062916886770098,11,1397315.8181818181
beomi/KcELECTRA-base-v2022,16,0.8558972005507114,0.8558972005507114,0.858374344971045,0.850788095605706,12,1590798.7916666667
beomi/KcELECTRA-base-v2022,32,0.8981184029371271,0.8981184029371271,0.9020071391926895,0.8951287482567445,12,1580752.5833333333
beomi/KcELECTRA-base-v2022,64,0.9210647085819184,0.9210647085819184,0.9212278799286411,0.9201335236163277,12,1625487.1041666667
beomi/KcELECTRA-base-v2022,128,0.9242771913721891,0.9242771913721891,0.9239260782717686,0.923921243299869,12,1662332.6875
